iso_year,iso_week,week_start,district,cases
2025,20,2025-05-12,Monaragala,10
2025,20,2025-05-12,Ratnapura,242
2025,20,2025-05-12,Kegalle,43
2025,21,2025-05-19,Colombo,359
2025,21,2025-05-19,Gampaha,224
2025,21,2025-05-19,Kalutara,35
2025,21,2025-05-19,Kandy,98
2025,21,2025-05-19,Matale,16
2025,21,2025-05-19,Nuwara Eliya,9
2025,21,2025-05-19,Galle,44
2025,21,2025-05-19,Matara,27
2025,21,2025-05-19,Hambantota,20
2025,21,2025-05-19,Jaffna,27
2025,21,2025-05-19,Kilinochchi,4
2025,21,2025-05-19,Mannar,3
2025,21,2025-05-19,Vavuniya,2
2025,21,2025-05-19,Mullaitivu,2
2025,21,2025-05-19,Batticaloa,58
2025,21,2025-05-19,Ampara,16
2025,21,2025-05-19,Trincomalee,45
2025,21,2025-05-19,Kurunegala,44
2025,21,2025-05-19,Puttalam,8
2025,21,2025-05-19,Anuradhapura,11
2025,21,2025-05-19,Polonnaruwa,7
2025,21,2025-05-19,Badulla,7
2025,21,2025-05-19,Monaragala,17
2025,21,2025-05-19,Ratnapura,251
2025,21,2025-05-19,Kegalle,45
2025,22,2025-05-26,Colombo,336
2025,22,2025-05-26,Gampaha,208
2025,22,2025-05-26,Kalutara,92
2025,22,2025-05-26,Kandy,126
2025,22,2025-05-26,Matale,20
2025,22,2025-05-26,Nuwara Eliya,4
2025,22,2025-05-26,Galle,56
2025,22,2025-05-26,Matara,21
2025,22,2025-05-26,Hambantota,20
2025,22,2025-05-26,Jaffna,35
2025,22,2025-05-26,Kilinochchi,2
2025,22,2025-05-26,Mannar,4
2025,22,2025-05-26,Vavuniya,2
2025,22,2025-05-26,Mullaitivu,1
2025,22,2025-05-26,Batticaloa,53
2025,22,2025-05-26,Ampara,14
2025,22,2025-05-26,Trincomalee,43
2025,22,2025-05-26,Kurunegala,47
2025,22,2025-05-26,Puttalam,13
2025,22,2025-05-26,Anuradhapura,13
2025,22,2025-05-26,Polonnaruwa,6
2025,22,2025-05-26,Badulla,25
2025,22,2025-05-26,Monaragala,15
2025,22,2025-05-26,Ratnapura,203
2025,22,2025-05-26,Kegalle,43
2025,23,2025-06-02,Colombo,302
2025,23,2025-06-02,Gampaha,197
2025,23,2025-06-02,Kalutara,71
2025,23,2025-06-02,Kandy,105
2025,23,2025-06-02,Matale,20
2025,23,2025-06-02,Nuwara Eliya,7
2025,23,2025-06-02,Galle,44
2025,23,2025-06-02,Matara,26
2025,23,2025-06-02,Hambantota,8
2025,23,2025-06-02,Jaffna,20
2025,23,2025-06-02,Kilinochchi,2
2025,23,2025-06-02,Mannar,2
2025,23,2025-06-02,Vavuniya,1
2025,23,2025-06-02,Mullaitivu,1
2025,23,2025-06-02,Batticaloa,52
2025,23,2025-06-02,Ampara,14
2025,23,2025-06-02,Trincomalee,39
2025,23,2025-06-02,Kurunegala,60
2025,23,2025-06-02,Puttalam,11
2025,23,2025-06-02,Anuradhapura,11
2025,23,2025-06-02,Polonnaruwa,12
2025,23,2025-06-02,Badulla,26
2025,23,2025-06-02,Monaragala,26
2025,23,2025-06-02,Ratnapura,197
2025,23,2025-06-02,Kegalle,61
2025,24,2025-06-09,Colombo,245
2025,24,2025-06-09,Gampaha,228
2025,24,2025-06-09,Kalutara,68
2025,24,2025-06-09,Kandy,126
2025,24,2025-06-09,Matale,24
2025,24,2025-06-09,Nuwara Eliya,9
2025,24,2025-06-09,Galle,49
2025,24,2025-06-09,Matara,34
2025,24,2025-06-09,Hambantota,24
